disease,population,incidence,source,note
pancreatic cancer,World,531318,"GCO Cancer Today, 2024 estimates (IARC/WHO, gco.iarc.who.int)","world annual new cases (pancreas, both sexes); ~90% is PDAC; World-level only — refine per-region"
lung cancer,World,2637005,"GCO Cancer Today, 2024 estimates (IARC/WHO, gco.iarc.who.int)","trachea, bronchus and lung, both sexes; World-level only"
colorectal carcinoma,World,2041007,"GCO Cancer Today, 2024 estimates (IARC/WHO, gco.iarc.who.int)","colorectum, both sexes; World-level only"
stomach cancer,World,980286,"GCO Cancer Today, 2024 estimates (IARC/WHO, gco.iarc.who.int)","both sexes; World-level only"
breast cancer,World,2434087,"GCO Cancer Today, 2024 estimates (IARC/WHO, gco.iarc.who.int)","both sexes (was female-only before); World-level only"
melanoma of skin,World,337969,"GCO Cancer Today, 2024 estimates (IARC/WHO, gco.iarc.who.int)","both sexes; World-level only"
pancreatic cancer,Europe,22941,"GCO Cancer Today 2024 (IARC/WHO)","Germany (GCO code 276) as Europe proxy — country-level, matches the AFND Germany-DKMS cohort"
pancreatic cancer,EastAsia,122597,"GCO Cancer Today 2024 (IARC/WHO)","China (GCO code 156) as EastAsia proxy — matches the AFND Hong-Kong-Chinese cohort"
pancreatic cancer,SouthAsia,20477,"GCO Cancer Today 2024 (IARC/WHO)","India (GCO code 356) as SouthAsia proxy — matches the AFND India-UCBB cohort"
lung cancer,Europe,61708,"GCO Cancer Today 2024 (IARC/WHO)","Germany (code 276) as Europe proxy; trachea, bronchus and lung"
lung cancer,EastAsia,1175915,"GCO Cancer Today 2024 (IARC/WHO)","China (code 156) as EastAsia proxy; trachea, bronchus and lung"
lung cancer,SouthAsia,112659,"GCO Cancer Today 2024 (IARC/WHO)","India (code 356) as SouthAsia proxy; trachea, bronchus and lung"
colorectal carcinoma,Europe,62640,"GCO Cancer Today 2024 (IARC/WHO)","Germany (code 276) as Europe proxy; colorectum"
colorectal carcinoma,EastAsia,561786,"GCO Cancer Today 2024 (IARC/WHO)","China (code 156) as EastAsia proxy; colorectum"
colorectal carcinoma,SouthAsia,83577,"GCO Cancer Today 2024 (IARC/WHO)","India (code 356) as SouthAsia proxy; colorectum"
stomach cancer,Europe,13774,"GCO Cancer Today 2024 (IARC/WHO)","Germany (code 276) as Europe proxy"
stomach cancer,EastAsia,341966,"GCO Cancer Today 2024 (IARC/WHO)","China (code 156) as EastAsia proxy"
stomach cancer,SouthAsia,68548,"GCO Cancer Today 2024 (IARC/WHO)","India (code 356) as SouthAsia proxy"
breast cancer,Europe,71600,"GCO Cancer Today 2024 (IARC/WHO)","Germany (code 276) as Europe proxy; both sexes"
breast cancer,EastAsia,375808,"GCO Cancer Today 2024 (IARC/WHO)","China (code 156) as EastAsia proxy; both sexes"
breast cancer,SouthAsia,237231,"GCO Cancer Today 2024 (IARC/WHO)","India (code 356) as SouthAsia proxy; both sexes"
melanoma of skin,Europe,26442,"GCO Cancer Today 2024 (IARC/WHO)","Germany (code 276) as Europe proxy"
melanoma of skin,EastAsia,8698,"GCO Cancer Today 2024 (IARC/WHO)","China (code 156) as EastAsia proxy"
melanoma of skin,SouthAsia,4074,"GCO Cancer Today 2024 (IARC/WHO)","India (code 356) as SouthAsia proxy"
